1 Hanover St. Reading, MA 01867
1 Hilldale Street Xenia, OH 45385
1 Lawrence Road Flushing, NY 11354
1 Peninsula St. Palm Harbor, FL 34683
1 Talbot Road Jamaica, NY 11432
1 Water Street Wantagh, NY 11793
10 Pawnee Ave. Indian Trail, NC 28079
112 N. George Lane Enfield, CT 06082
114 Beacon Ave. Torrington, CT 06790
12 Branch Street Villa Park, IL 60181
12 Wilson St. Nanuet, NY 10954
124 Fairview Street Ithaca, NY 14850
125 East Lees Creek St. Paramus, NJ 07652
129 S. Birch Hill Lane Trenton, NJ 08610
13 Ketch Harbour Street Alpharetta, GA 30004
132 53rd Dr. Vista, CA 92083
136 Edgemont St. King Of Prussia, PA 19406
141 Old Pineknoll Ave. Holland, MI 49423
147 Gartner Ave. Dedham, MA 02026
15 Harvey St. Gaithersburg, MD 20877
150 Alderwood Street Indianapolis, IN 46201
161 Main Avenue La Vergne, TN 37086
166 Canterbury Court Winchester, VA 22601
17 Border Street Kingston, NY 12401
17 Lafayette Lane Eden Prairie, MN 55347
171 Euclid Ave. Parkville, MD 21234
180 Vale Ave. Chaska, MN 55318
184 Woodland Ave. Winder, GA 30680
191 Hickory Dr. Grand Rapids, MI 49503
2 Arch Street Asbury Park, NJ 07712
2 Illinois Avenue Fitchburg, MA 01420
2 Lees Creek Drive Hempstead, NY 11550
2 North Academy Ave. Peabody, MA 01960
2 Spring Drive State College, PA 16801
20 53rd Court Greenfield, IN 46140
20 Beach St. Wayne, NJ 07470
20 Colonial St. Nampa, ID 83651
20 Fairground St. Grand Haven, MI 49417
20 Summer Lane Mocksville, NC 27028
20 Wagon Road Howard Beach, NY 11414
201 Middle River Ave. Greenville, NC 27834
201 West Cottage Drive Inman, SC 29349
208 Hamilton Street Indian Trail, NC 28079
21 Edgefield Dr. Lawrenceville, GA 30043
21 Glen Ridge Ave. The Villages, FL 32162
219 South Wintergreen Ave. Grand Rapids, MI 49503
22 Fawn Drive Sykesville, MD 21784
221 Wellington Lane Port Washington, NY 11050
226 North Wayne Road Olney, MD 20832
23 Bridgeton Court Hastings, MN 55033
23 N. Swanson Court Hartford, CT 06106
232 South Ridgeview Drive Staunton, VA 24401
237 Aspen Dr. Ashtabula, OH 44004
24 Ashley Street Newnan, GA 30263
24 SE. College Ave. Owensboro, KY 42301
243 Mammoth St. Sulphur, LA 70663
244 Edgewater St. Dedham, MA 02026
25 Big Rock Cove Lane Menasha, WI 54952
25 Prairie Lane Hastings, MN 55033
258 Heritage Ave. Middletown, CT 06457
27 Valley View Avenue New Kensington, PA 15068
28 Snake Hill Road Elk Grove Village, IL 60007
280 Essex Ave. Carrollton, GA 30117
29 Race Ave. Southampton, PA 18966
29 Rocky River Dr. Aliquippa, PA 15001
298 N. Beechwood Ave. Appleton, WI 54911
299 Wood Dr. Quakertown, PA 18951
3 Beaver Ridge St. Roy, UT 84067
3 Ketch Harbour St. Beaver Falls, PA 15010
3 Madison Road West Orange, NJ 07052
3 Schoolhouse Drive Lakewood, NJ 08701
3 Van Dyke Rd. Colorado Springs, CO 80911
30 Madison Street Kent, OH 44240
305 Hawthorne Court Reading, MA 01867
307 Cherry Hill Ave. Chelsea, MA 02150
312 Bay Dr. Perth Amboy, NJ 08861
312 Franklin Street Palm City, FL 34990
313 Lookout Drive Stillwater, MN 55082
317 Shipley St. Milford, MA 01757
318 St Louis St. Flushing, NY 11354
32 W. Sunset Street Fort Myers, FL 33905
320 N. Grove Drive Muskegon, MI 49441
320 Park Lane Council Bluffs, IA 51501
325 Nichols Road Midland, MI 48640
33 Ashley Ave. Knoxville, TN 37918
33 Euclid Street Tacoma, WA 98444
335 Woodside St. Roslindale, MA 02131
34 Ridge St. Beckley, WV 25801
34 West Gregory St. Wilmette, IL 60091
340 Pumpkin Hill Drive Chardon, OH 44024
35 Coffee St. Rosemount, MN 55068
35 Pawnee Ave. Grand Blanc, MI 48439
350 Andover Circle Beaver Falls, PA 15010
351 Cross Street Glendora, CA 91740
353 Cross St. Poughkeepsie, NY 12601
356 Miles Street Schererville, IN 46375
357 Glendale St. Hamilton, OH 45011
36 Lakewood Street Plainview, NY 11803
36 North Glen Eagles Street Livingston, NJ 07039
36 Saxton Drive Clementon, NJ 08021
365 East Poor House Dr. Murfreesboro, TN 37128
37 53rd Ave. San Jose, CA 95127
37 Cedarwood Court Detroit, MI 48205
375 Old York St. Bridgewater, NJ 08807
378 Mammoth Road Egg Harbor Township, NJ 08234
38 Bank St. Brick, NJ 08723
386 Bank Lane Davison, MI 48423
389 Henry Smith Avenue Houston, TX 77016
39 Court Circle Fort Wayne, IN 46804
39 Fremont Street Mankato, MN 56001
39 Grand Street Duluth, GA 30096
39 Newport Lane Hummelstown, PA 17036
39 Rockwell St. Hamtramck, MI 48212
39 Sycamore St. Derry, NH 03038
393 East Brookside Avenue Deltona, FL 32725
4 3rd St. Owensboro, KY 42301
4 Augusta Ave. Marshfield, WI 54449
4 Depot Dr. Warren, MI 48089
4 Longbranch Ave. Hixson, TN 37343
4 Ohio Street Lorain, OH 44052
4 Saxton Dr. Bethlehem, PA 18015
40 Sugar St. Burke, VA 22015
401 Sleepy Hollow Dr. Plymouth, MA 02360
416 Charles Court Butte, MT 59701
419 South 53rd St. San Lorenzo, CA 94580
42 E. Foster Ave. Natchez, MS 39120
42 Marlborough St. Amsterdam, NY 12010
